t,x,vx,z_s,vz_s,pitch,pitch_rate,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,ground_FL,ground_RL,airborne
0.0,0.007500029241563601,15.000116966185807,0.3815161289414048,3.919960701691316e-06,-2.3389741502470876e-08,-9.051315361108958e-05,0.31497729592819806,0.31497729592819806,0.31515705567292884,0.31515705567292884,3304.9948957964293,3304.9948957964293,3265.447751955658,3265.447751955658,0.0,0.0,False
0.01,0.15751289600903998,15.002456484123599,0.38151653073151665,6.843065667016854e-05,-9.187940931170111e-08,0.0007220135674553467,0.31476301714944466,0.31476301714944466,0.3153866203250681,0.3153866203250681,3352.1362271221788,3352.1362271221788,3214.9435284850238,3214.9435284850238,0.0,0.0,False
0.02,0.30754916135126953,15.004796681254794,0.3815172222212548,5.4036326590672247e-05,1.9688220582490647e-05,0.0032258316378589794,0.31441677725149797,0.31441677725149797,0.31574870767742247,0.31574870767742247,3428.30900467045,3428.30900467045,3135.2843109670603,3135.2843109670603,0.0,0.0,False
0.03,0.45760883034503114,15.00713708596714,0.38151733844717806,-4.051730390630198e-05,6.142138498958213e-05,0.004892333712842854,0.314134729029759,0.314134729029759,0.31603149257022,0.31603149257022,3490.359613453029,3490.359613453029,3073.0716345516016,3073.0716345516016,0.0,0.0,False
0.04,0.60769190127471,15.009476964474754,0.38151631741264075,-0.00016352190957501396,0.00011271755381775278,0.005140945444086487,0.313968380323059,0.313968380323059,0.31618618089353967,0.31618618089353967,3526.95632892702,3526.95632892702,3039.040203421276,3039.040203421276,0.0,0.0,False
0.05,0.7577983664396947,15.011815898067056,0.38151415032399977,-0.0002627503997637077,0.00016047106324305877,0.004264635494567803,0.31390172035516145,0.31390172035516145,0.3162369453137159,0.3162369453137159,3541.6215218644843,3541.6215218644843,3027.8720309825103,3027.8720309825103,0.0,0.0,False
0.06,0.9079282159385889,15.014153850054758,0.38151123691907035,-0.0003105119700267735,0.0001959775192266961,0.0027749050006983886,0.31389920999135296,0.31389920999135296,0.3162257483638881,0.3162257483638881,3542.173801902353,3542.173801902353,3030.335359944618,3030.335359944618,0.0,0.0,False
0.07,1.0580814408051233,15.016491012985902,0.3815081210093374,-0.00030450019947467677,0.00021537456132048882,0.0011009642866219543,0.3139288754393152,0.3139288754393152,0.3161872928821226,0.3161872928821226,3535.647403350661,3535.647403350661,3038.79556593303,3038.79556593303,0.0,0.0,False
0.08,1.2082580344113216,15.018827637979971,0.3815052837285694,-0.00025756783291416624,0.000218284543096435,-0.0004914700205678915,0.3139695245326164,0.3139695245326164,0.3161426312932531,0.3161426312932531,3526.7046028243963,3526.7046028243963,3048.621115484322,3048.621115484322,0.0,0.0,False
0.09,1.3584579924639275,15.021163929892312,0.38150304865821066,-0.00018682738508347903,0.00020624029504099617,-0.0018783363825521685,0.3140100986423587,0.3140100986423587,0.3161013588398533,0.3161013588398533,3517.7782986810935,3517.7782986810935,3057.701055232278,3057.701055232278,0.0,0.0,False
0.1,1.5086813123228795,15.023500013550633,0.3815015776766496,-0.0001067560145807824,0.00018152035818957293,-0.0030258535880702472,0.3140464003939342,0.3140464003939342,0.31606608367409417,0.31606608367409417,3509.7919133344744,3509.7919133344744,3065.4615916992866,3065.4615916992866,0.0,0.0,False
0.11,1.658927992230418,15.025835944448188,0.3815009129119036,-2.6711470580342873e-05,0.00014648663936628464,-0.003944787111757355,0.3140778662947506,0.3140778662947506,0.3160362350572956,0.3160362350572956,3502.869415154872,3502.869415154872,3072.028287394969,3072.028287394969,0.0,0.0,False
0.12,1.8091980307475521,15.02817173550482,0.3815010274920055,4.864954482193082e-05,0.00010330040016940911,-0.004660961981549107,0.31410532806898844,0.31410532806898844,0.31601040215569215,0.31601040215569215,3496.827824822546,3496.827824822546,3077.711525747731,3077.711525747731,0.0,0.0,False
0.13,1.9594914264581762,15.030507381826894,0.3815018649533201,0.00011777328697447099,5.3855153638281e-05,-0.005200643633827786,0.3141298034088943,0.3141298034088943,0.31598740129813646,0.31598740129813646,3491.443250043259,3491.443250043259,3082.771714409982,3082.771714409982,0.0,0.0,False
0.14,2.109808177877698,15.032842876408635,0.3815033619375635,0.0001806017691807647,-1.973415404027228e-07,-0.005585629713689235,0.3141520204192156,0.3141520204192156,0.3159665549920367,0.3159665549920367,3486.5555077725753,3486.5555077725753,3087.357901751933,3087.357901751933,0.0,0.0,False
0.15,2.260148283471909,15.035178216847058,0.3815054571473882,0.00023747141927642353,-5.739969017456634e-05,-0.0058331927986730505,0.31417234824621093,0.31417234824621093,0.31594760770889596,0.31594760770889596,3482.0833858335986,3482.0833858335986,3091.5263040428918,3091.5263040428918,0.0,0.0,False
0.16,2.4105117417102915,15.037513406094387,0.38150809217652604,0.0002885741736728967,-0.00011645098893152712,-0.0059576493666063084,0.3141908936067211,0.3141908936067211,0.3159305445784977,0.3159305445784977,3478.003406521364,3478.003406521364,3095.280192730515,3095.280192730515,0.0,0.0,False
0.17,2.5608985511108138,15.039848450472936,0.38151120914355746,0.00033382379926420047,-0.00017618542891100188,-0.005971920232310823,0.31420762669407987,0.31420762669407987,0.3159154371019359,0.3159154371019359,3474.322127302433,3474.322127302433,3098.6038375741,3098.6038375741,0.0,0.0,False
0.18,2.7113087102609903,15.042183357185696,0.3815147481877474,0.00037293196070752656,-0.00023556381936240753,-0.005888520557016273,0.3142224784220009,0.3142224784220009,0.3159023501576799,0.3159023501576799,3471.0547471598043,3471.0547471598043,3101.4829653104202,3101.4829653104202,0.0,0.0,False
0.19,2.861742217816487,15.04451813241447,0.38151864612896835,0.00040554599237374784,-0.0002936720014646372,-0.005719970883159824,0.31423539673127115,0.31423539673127115,0.31589130218564937,0.31589130218564937,3468.2127191203494,3468.2127191203494,3103.913519157142,3103.913519157142,0.0,0.0,False
0.2,3.012199072484995,15.046852780276144,0.38152283645107377,0.00043136744497689983,-0.00034972123998394314,-0.005478817365019236,0.3142463698869239,0.3142463698869239,0.3158822583542305,0.3158822583542305,3465.798624876747,3465.798624876747,3105.903162069292,3105.903162069292,0.0,0.0,False
