t,x,y,yaw,yaw_rate,vx,vy,z_s,vz_s,pitch,roll,steer,z_u_FL,z_u_FR,z_u_RL,z_u_RR,Fz_FL,Fz_FR,Fz_RL,Fz_RR,Fx_FL,Fx_FR,Fx_RL,Fx_RR,Fy_FL,Fy_FR,Fy_RL,Fy_RR,kappa_FL,kappa_FR,kappa_RL,kappa_RR,alpha_FL,alpha_FR,alpha_RL,alpha_RR,alpha_dyn_FL,alpha_dyn_FR,alpha_dyn_RL,alpha_dyn_RR,w_FL,w_FR,w_RL,w_RR,airborne
0.0,0.007499973347572767,0.0,0.0,0.0,14.999895158669101,0.0,0.3815161289417172,3.921809478785399e-06,-2.8371918559524932e-08,0.0,0.0,0.3149772960274726,0.3149772960274726,0.3151570555583533,0.3151570555583533,3304.994873956032,3304.994873956032,3265.4477771622714,3265.4477771622714,0.35331061965030386,0.35331061965030386,13.590769965640144,13.590769965640144,-0.0,-0.0,-0.0,-0.0,6.314341438944212e-06,6.314341438944212e-06,0.00024548170511260923,0.00024548170511260923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.45451476705661,45.45451476705661,45.465385934876245,45.465385934876245,False
0.01,0.15749184976338187,0.0,0.0,0.0,14.998599584709021,0.0,0.3815165321476723,6.876263525503776e-05,-1.5514321821869484e-06,0.0,0.0,0.31476352774239263,0.31476352774239263,0.31538603688567646,0.31538603688567646,3352.0238966736238,3352.0238966736238,3215.071885151183,3215.071885151183,1.0396435269646769,1.0396435269646769,72.35357241047456,72.35357241047456,-0.0,-0.0,-0.0,-0.0,1.835129121685744e-05,1.835129121685744e-05,0.0013251687073688974,0.0013251687073688974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.451135843569226,45.451135843569226,45.51053108949404,45.51053108949404,False
0.02,0.30747242458704904,0.0,0.0,0.0,14.997517306889378,0.0,0.3815172296965619,5.4988225918634016e-05,1.4890593944763855e-05,0.0,0.0,0.3144192897910719,0.3144192897910719,0.3157458716519571,0.3157458716519571,3427.756245964181,3427.756245964181,3135.908236569439,3135.908236569439,0.996755555580156,0.996755555580156,73.29161619109546,73.29161619109546,-0.0,-0.0,-0.0,-0.0,1.7253364801710083e-05,1.7253364801710083e-05,0.0013722977962069044,0.0013722977962069044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44780625614119,45.44780625614119,45.50938899041878,45.50938899041878,False
0.03,0.45744220715664863,0.0,0.0,0.0,14.996439529105034,0.0,0.38151736119482127,-3.826215471380945e-05,5.1610645027742735e-05,0.0,0.0,0.3141405592207052,0.3141405592207052,0.3160249983456101,0.3160249983456101,3489.0769714448556,3489.0769714448556,3074.500363965782,3074.500363965782,0.9924754070047496,0.9924754070047496,73.41660131715153,73.41660131715153,-0.0,-0.0,-0.0,-0.0,1.6915430990895604e-05,1.6915430990895604e-05,0.0013989850777786164,0.0013989850777786164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.444524849524235,45.444524849524235,45.50733128553352,45.50733128553352,False
0.04,0.6074012214171789,0.0,0.0,0.0,14.995363607171486,0.0,0.38151637350767026,-0.00015892020957618052,9.637928053885172e-05,0.0,0.0,0.3139783036358678,0.3139783036358678,0.3161752740318293,0.3161752740318293,3524.7732001090835,3524.7732001090835,3041.4397129975523,3041.4397129975523,0.9892584570992163,0.9892584570992163,73.56452212757225,73.56452212757225,-0.0,-0.0,-0.0,-0.0,1.6711800939142046e-05,1.6711800939142046e-05,0.0014153528568237742,0.0014153528568237742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.44125517182757,45.44125517182757,45.50481011482426,45.50481011482426,False
0.05,0.7573494838965643,0.0,0.0,0.0,14.994289057764169,0.0,0.3815142687544619,-0.00025471657102104446,0.00013630728863832714,0.0,0.0,0.3139160028493134,0.3139160028493134,0.3162214467727508,0.3162214467727508,3538.47937315105,3538.47937315105,3031.281709994822,3031.281709994822,0.9870193186655108,0.9870193186655108,73.68030328505357,73.68030328505357,-0.0,-0.0,-0.0,-0.0,1.6617780224405585e-05,1.6617780224405585e-05,0.0014218109188538677,0.0014218109188538677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.43799463504349,45.43799463504349,45.501842732324086,45.501842732324086,False
0.06,0.907287004815766,0.0,0.0,0.0,14.993215189594043,0.0,0.381511456585356,-0.0002981814600030136,0.00016294263372502082,0.0,0.0,0.3139177637035015,0.3139177637035015,0.3162058503146129,0.3162058503146129,3538.0919852296743,3538.0919852296743,3034.712930785165,3034.712930785165,0.9858708427725197,0.9858708427725197,73.74587722471058,73.74587722471058,-0.0,-0.0,-0.0,-0.0,1.6600024434720943e-05,1.6600024434720943e-05,0.001421643726078385,0.001421643726078385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.43473962828044,45.43473962828044,45.49857636333961,45.49857636333961,False
0.07,1.0572137882893073,0.0,0.0,0.0,14.992141511660634,0.0,0.3815084877947757,-0.00028734931584775784,0.00017268613392062014,0.0,0.0,0.31395141430727375,0.31395141430727375,0.31616337296004515,0.31616337296004515,3530.688852399779,3530.688852399779,3044.05794879007,3044.05794879007,0.985465867566315,0.985465867566315,73.77154812814388,73.77154812814388,-0.0,-0.0,-0.0,-0.0,1.6623461665759e-05,1.6623461665759e-05,0.0014182508766720885,0.0014182508766720885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.431487069546485,45.431487069546485,45.495164028796175,45.495164028796175,False
0.08,1.2071298349591673,0.0,0.0,0.0,14.991067812974606,0.0,0.3815058470148556,-0.00023541359957426317,0.0001654151556815929,0.0,0.0,0.31399567565390574,0.31399567565390574,0.3161151311840625,0.3161151311840625,3520.951356140741,3520.951356140741,3054.6711395062575,3054.6711395062575,0.9854196383250622,0.9854196383250622,73.77443376250677,73.77443376250677,-0.0,-0.0,-0.0,-0.0,1.6662674064531037e-05,1.6662674064531037e-05,0.001413919903537514,0.001413919903537514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.42823516439834,45.42823516439834,45.491709036759545,45.491709036759545,False
0.09,1.3570351443879567,0.0,0.0,0.0,14.989994068318273,0.0,0.38150385820158916,-0.0001597651867454454,0.00014289815199424125,0.0,0.0,0.31403946580849873,0.31403946580849873,0.31607072262661307,0.31607072262661307,3511.3175221302827,3511.3175221302827,3064.441022145129,3064.441022145129,0.9854775909063384,0.9854775909063384,73.76794643230954,73.76794643230954,-0.0,-0.0,-0.0,-0.0,1.670344532881888e-05,1.670344532881888e-05,0.0014097851799049971,0.0014097851799049971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.424983190499006,45.424983190499006,45.48826284788682,45.48826284788682,False
