t,x_world,y_world,yaw_deg_carla,vx,vy,yaw_rate,ax,ay,steer,throttle,brake,Fz_FL,Fz_FR,Fz_RL,Fz_RR
0.02,-64.64484405517578,24.471010208129883,0.15919795632362366,10.0,0.0,0.0,0.0,0.0,0.10382979880205818,0.1,0.0,0.0,0.0,0.0,0.0
0.04,-64.44686126708984,24.471010208129883,0.1593857705593109,9.798148559902083,0.006387948809670208,0.0030106111546997043,-10.036167521215374,1.1695448996808895,0.10382695098485477,0.16055543202937503,0.0,4328.5520531944185,4757.454593634675,1817.7074980262082,2161.608520035196
0.06,-64.25289154052734,24.470558166503906,0.14671486616134644,9.600365510135115,0.040104770543368584,0.020956590542985903,-9.737012787602014,2.294947553644345,0.10382208575064927,0.2198903469594656,0.0,4073.7716474018707,4947.625097617289,1669.2192864522226,2369.88917361747
0.08,-64.06238555908203,24.469144821166992,0.09994593262672424,9.470764568394674,0.09303291476665876,0.06301599930226251,-4.575114764887307,3.389756469320782,0.10381722917572497,0.2587706294815977,0.0,3289.487920539515,4609.350111244909,2050.138385764879,3108.4253239319714
0.1,-63.87380599975586,24.46639060974121,0.0006742666009813547,9.395894542822665,0.1463892106259035,0.11425255333351747,-2.224044783307266,3.449311721374866,0.10381432275199345,0.28123163715320043,0.0,3031.5349773608646,4385.9876820030895,2276.041596362652,3362.06377033059
0.12,-63.68611526489258,24.462270736694336,-0.1610717475414276,9.380927150553177,0.18696864320830878,0.1650733939419361,-0.24253721078822668,3.3181775004129275,0.10381431398087874,0.28572185483404694,0.0,2826.0745586947924,4125.8020114597475,2530.6280500834546,3572.770628395526
0.14,-63.49856948852539,24.45682144165039,-0.3756103515625,9.377471752279922,0.21806192654277784,0.2088491170601692,-0.19967075643123552,3.2961682686999905,0.10381713908160392,0.28675847431602347,0.0,2824.461400656668,4116.4148448523465,2539.2041843049146,3575.1134363015562
0.16,-63.31111145019531,24.45005226135254,-0.6383667588233948,9.3747315438744,0.24036599003691664,0.24906073944418194,-0.18095855774094172,3.2320447438229203,0.1038226686110501,0.2875805368376799,0.0,2834.678714900997,4102.132986335751,2551.0261136072836,3567.291531034403
0.18,-63.123748779296875,24.44199562072754,-0.9446715712547302,9.372667689059705,0.25403509661081286,0.2847499748871541,-0.15916324581233368,3.149258834256187,0.10383051782895107,0.28819969328208844,0.0,2848.4498198451856,4083.633117535731,2566.3038996585674,3556.693926279031
0.2,-62.93647384643555,24.432682037353516,-1.2889404296875,9.371277634543349,0.25984360803328743,0.3152030951836476,-0.13605289602089915,3.0686826979101656,0.10384014257921603,0.2886167096369954,0.0,2861.816670393287,4065.2341692251625,2581.5387574988563,3546.4584507395857
0.22,-62.7492790222168,24.422143936157227,-1.6649476289749146,9.370502034569,0.2590248948463158,0.34008164202479935,-0.1136528991001209,3.005857553313193,0.10385092052951696,0.28884938962929996,0.0,2871.903329541263,4050.255539749075,2594.0244944258375,3538.8464322046448
0.24,-62.562171936035156,24.410402297973633,-2.0662238597869873,9.37024160872746,0.25309208626969654,0.35940192004162563,-0.09354431814003665,2.9705709789930137,0.1038622657495506,0.28892751738176214,0.0,2876.9092253662184,4040.845905208309,2602.0026028643406,3535.2659342975558
0.26,-62.375144958496094,24.39747428894043,-2.48663330078125,9.370376826534306,0.24366014931501911,0.37347978205143084,-0.07677167573669086,2.966793879120558,0.10387367644937967,0.28888695203970816,0.0,2876.117755830263,4037.953759616586,2604.688179427996,3536.267154686154
0.28,-62.18820571899414,24.383363723754883,-2.920379877090454,9.370785373628786,0.23228727976673738,0.38285393378592286,-0.06383872925178372,2.99340606932703,0.10388479184164101,0.2887643879113641,0.0,2869.760934703591,4041.4610437612223,2602.1631549577805,3541.651330008798
0.3,-62.0013542175293,24.368053436279297,-3.3625190258026123,9.37135530684746,0.22035270766878787,0.38820325644460285,-0.054781543860573156,3.0455305333717573,0.10389542084855952,0.2885934079457618,0.0,2858.769890048026,4050.4479690813973,2595.1625903942454,3550.6694262003834
0.32,-61.81460189819336,24.351531982421875,-3.8088390827178955,9.371993190596788,0.20897882969152662,0.39027026250541524,-0.049284163828072346,3.1160710697411163,0.10390547864398102,0.2884020428209636,0.0,2844.486382657494,4063.5064301729435,2584.8210025474336,3562.251072697375
0.34,-61.62795639038086,24.333765029907227,-4.255983352661133,9.372627679835574,0.19899612332402777,0.38979782085682146,-0.046804103617549296,3.1971153158807213,0.10391502580319256,0.2882116960493278,0.0,2828.3992913834227,4079.030843265622,2572.436499603033,3575.213187303451
0.36,-61.441429138183594,24.31472396850586,-4.701478958129883,9.373209620403667,0.19094329490229067,0.3874820952045845,-0.04668691325769029,3.281026687990098,0.10392418066012299,0.28803711387889985,0.0,2811.9398829738266,4095.447965136802,2559.284023724169,3588.4216472960843
0.38,-61.255027770996094,24.294374465942383,-5.143558025360107,9.373709870814869,0.18509277480669986,0.3839416701410997,-0.048258377606677054,3.3611794594705393,0.10393311764307427,0.28788703875553934,0.0,2796.344573337985,4111.374417206491,2546.487010021202,3600.899294020469
0.4,-61.06877136230469,24.272689819335938,-5.581150531768799,9.374115894684367,0.18149187275253184,0.37970094313515357,-0.05089122658375814,3.4323721546582164,0.10394201480929782,0.2877652315946898,0.0,2782.578470164077,4125.707889424359,2534.942756520835,3611.885736387119
0.42,-60.8826789855957,24.249637603759766,-6.013676643371582,9.374427916172293,0.18001142713837845,0.3751848564439272,-0.05404691649833678,3.4909839868569783,0.10395106565671176,0.28767162514831224,0.0,2771.3071994414295,4137.664614093691,2525.291410268073,3620.858974046409
0.44,-60.69675064086914,24.225204467773438,-6.441014289855957,9.37465516765608,0.18039573714261703,0.3707217591858075,-0.057296304118208304,3.5349449249853806,0.10396040906293147,0.28760344970317603,0.0,2762.9035802727235,4146.777357191312,2517.91707140617,3627.5295389033936
0.46,-60.511009216308594,24.199365615844727,-6.863409996032715,9.374812543776986,0.18230946139019424,0.3665514435886587,-0.06032365856794741,3.563580153385272,0.10397018814583378,0.28755623686690407,0.0,2757.47760790831,4152.866429949392,2512.97089862446,3631.8163162973574
0.48,-60.325462341308594,24.172115325927734,-7.281287670135498,9.374917808795123,0.18537879335338306,0.36283597983915256,-0.06291966250558301,3.5773811987598756,0.10398048348639528,0.28752465736146304,0.0,2754.920033461797,4155.994660048757,2510.4073247008,3633.8117127921605
0.5,-60.14013671875,24.143451690673828,-7.695198059082031,9.37498939914496,0.1892254925924864,0.3596716518034014,-0.064967318031516,3.5777410423797265,0.1039913476858384,0.287503180256512,0.0,2754.9525236582404,4156.4142029364075,2510.02697831612,3633.7417115407616
0.52,-59.95502471923828,24.113372802734375,-8.105813026428223,9.375044793519839,0.19349328160759313,0.3571009086520255,-0.06642494708356905,3.5666836574769722,0.10400280497533161,0.28748656194404826,0.0,2757.178837235303,4154.511674572119,2511.5210240466513,3631.9251847531477
0.54,-59.770145416259766,24.081886291503906,-8.513833999633789,9.375099388825188,0.19786677425297125,0.35512372056279645,-0.06730852857862517,3.546607988045441,0.10401484255409657,0.2874701833524437,0.0,2761.1332538355946,4150.755870401521,2514.5134506177264,3628.7354311014096
0.56,-59.585506439208984,24.04900550842285,-8.919933319091797,9.37516580891085,0.20208351774610198,0.3537080200801466,-0.06767499769688383,3.520059973055149,0.10402741977437062,0.2874502573267449,0.0,2766.323717036391,4145.650970177912,2518.598945795856,3624.565936696189
0.58,-59.4011116027832,24.01473617553711,-9.324688911437988,9.375253570871347,0.20593999273414787,0.3527990743050111,-0.06760745474352002,3.4895412805363297,0.10404050498116808,0.2874239287385958,0.0,2772.2680574141327,4139.697074179134,2523.3748562912597,3619.8016480456763
0.6,-59.21697998046875,23.979095458984375,-9.728650093078613,9.375369036913098,0.2092925665956182,0.3523277118487742,-0.06720272701889607,3.457359339469541,0.10405403341052458,0.28738928892607074,0.0,2778.522411383989,4133.359054865554,2528.466432909723,3614.7964552739477
0.62,-59.033103942871094,23.942096710205078,-10.132308006286621,9.375515589328261,0.2120544483732227,0.35221735443913393,-0.06656106849639157,3.4255185749393715,0.10406793905889904,0.28734532320152173,0.0,2784.7017913281675,4127.043724919788,2533.5453637782066,3609.8569248471285
0.64,-58.849510192871094,23.903751373291016,-10.535996437072754,9.375693967968076,0.2141896938570734,0.35238982473890523,-0.06577836060502106,3.3956523300624597,0.10408217089328826,0.28729180960957734,0.0,2790.492944285307,4121.085261594477,2538.3416354484452,3605.232163376364
0.66,-58.66618347167969,23.86408233642578,-10.93998908996582,9.375902714471097,0.21570526637261678,0.3527699355628207,-0.06494047975924531,3.3689916102875372,0.1040966484598092,0.2872291856586708,0.0,2795.660190101609,4115.738125661542,2542.6493389872594,3601.1092648822696
0.68,-58.483154296875,23.82309341430664,-11.34453010559082,9.37613867587182,0.21664205476737458,0.35328889269663316,-0.06411947062140931,3.34636470416384,0.1041113345789417,0.28715839723845404,0.0,2800.045347876168,4111.176288194019,2546.3273797896654,3597.6134596064894
0.7,-58.3004035949707,23.780797958374023,-11.749713897705078,9.376397520429613,0.21706563549151836,0.35388659016909896,-0.06337180165990537,3.3282231860844305,0.10412618046986102,0.2870807438711161,0.0,2803.562674477796,4107.497898907399,2549.295779453793,3594.812217417914
0.72,-58.11796188354492,23.73720359802246,-12.155597686767578,9.376674231143813,0.21705741640470824,0.35451291319239026,-0.06273777289893513,3.314685903222633,0.10414115843793167,0.28699773065685613,0.0,2806.1903263757144,4104.733686555328,2551.5289596668003,3592.722113315091
0.74,-57.93582534790039,23.692323684692383,-12.56218433380127,9.376963547560676,0.21670663832580828,0.35512818937111734,-0.062242320999991975,3.305595623077801,0.10415623116498322,0.28691093573179727,0.0,2807.9594438134172,4102.858041980524,2553.0468442634897,3591.3175685417095
0.76,-57.75400161743164,23.646156311035156,-12.96947193145752,9.37726033704019,0.21610355869149778,0.35570295065910734,-0.06189653740621082,3.3005813720940282,0.10417139588908174,0.28682189888794324,0.0,2808.9421347749667,4101.801360042672,2553.9049353446167,3590.5404573140754
0.78,-57.57250213623047,23.59870719909668,-13.377370834350586,9.377559882921762,0.21533399809428558,0.35621717543176656,-0.061699968613849195,3.2991221778875546,0.10418664809076368,0.28673203512347134,0.0,2809.239231763445,4101.462779915833,2554.184052036005,3590.309877771441
0.8,-57.39133834838867,23.54998207092285,-13.785848617553711,9.377858088202567,0.21447530180326185,0.35665917371259354,-0.06164301191151206,3.3006067852423375,0.10420197609504384,0.28664257353922995,0.0,2808.9688015259185,4101.722196509356,2553.980650293664,3590.531315822585
0.82,-57.21051788330078,23.499984741210938,-14.194753646850586,9.378151599091257,0.21359365907891992,0.3570242586921706,-0.06170943205567717,3.304386675471459,0.10421739298533353,0.2865545202726228,0.0,2808.2559593271503,4102.45099456682,2553.398163245679,3591.1047593432977
0.84,-57.03004455566406,23.448707580566406,-14.60405158996582,9.37843785538066,0.21274265707944587,0.3573133346744756,-0.061878876002115786,3.309820874235418,0.10423291891566211,0.28646864338580186,0.0,2807.224280919558,4103.521185269778,2552.5396215504397,3591.931530433816
0.86,-56.84993362426758,23.396162033081055,-15.013628959655762,9.378715080508783,0.21196289150722886,0.35753150493378055,-0.0621290076480826,3.3163108106977988,0.1042485501459216,0.286385475847365,0.0,2805.9891100518553,4104.81256622862,2551.5018659589,3592.919605126274
0.88,-56.67019271850586,23.34233856201172,-15.423418045043945,9.378982226497136,0.21128242030854447,0.3576867709337566,-0.0624372298105438,3.323324977039564,0.1042643211198659,0.2863053320508591,0.0,2804.6528204420138,4106.217837653822,2550.3714069675043,3593.9873742938535
0.9,-56.49083709716797,23.287242889404297,-15.833357810974121,9.379238884477319,0.21071785264164683,0.3577888794666454,-0.06278228506734744,3.330415237466454,0.10428023515132574,0.2862283346568043,0.0,2803.3017188478925,4107.646049684688,2549.2216249199805,3595.0660910449956
0.92,-56.31187438964844,23.230873107910156,-16.24339485168457,9.379485176526655,0.2102758665402703,0.3578483479663872,-0.06314511384159457,3.3372239711856504,0.1042963110265355,0.2861544470420034,0.0,2802.0046580186,4109.024180243236,2548.1114846784676,3596.100962701533
0.94,-56.13330841064453,23.173229217529297,-16.653457641601562,9.37972163843681,0.2099549678280525,0.35787567857954594,-0.0635096294991866,3.3434850359127726,0.10431256815335607,0.28608350846895725,0.0,2800.8128793527085,4110.297462758561,2547.0852545854395,3597.0512586945124
0.96,-55.95515441894531,23.11431312561035,-17.063549041748047,9.379949102643996,0.20974733752372313,0.35788076345086567,-0.06386302714970037,3.3490191245793888,0.10432900947433094,0.2860152692068011,0.0,2799.7609088366135,4111.42855986725,2546.1731607252514,3597.889583907402
0.98,-55.77742004394531,23.05412483215332,-17.47364044189453,9.380168589559148,0.2096406358564919,0.3578724656334957,-0.06419578900995636,3.353724962796561,0.1043456480118944,0.28594942313225574,0.0,2798.8682486712887,4112.395874848905,2545.392739259545,3598.6005207192693
1.0,-55.60011672973633,22.992666244506836,-17.883737564086914,9.380381210815699,0.20961966946018207,0.3578583579336102,-0.06450159758579689,3.357568331891779,0.10436248636477377,0.28588563675529033,0.0,2798.141502359418,4113.191408380312,2544.750555576532,3599.1789257353794
1.02,-55.423255920410156,22.929935455322266,-18.293800354003906,9.380588088233264,0.20966785665105003,0.35784459709340605,-0.06477697321034387,3.3605694481140347,0.10437954599865168,0.28582357353002086,0.0,2797.5767964976185,4113.818258983884,2544.2442152228746,3599.6279947057196
1.04,-55.24684524536133,22.865942001342773,-18.703861236572266,9.38079028886616,0.20976845254863363,0.3578359087923878,-0.06502094418950417,3.3627903861930197,0.10439680711492035,0.28576291334015186,0.0,2797.162212179056,4114.288119752046,2543.8643774276406,3599.9573193438036
1.06,-55.070892333984375,22.800683975219727,-19.113895416259766,9.380988778671592,0.20990551290761175,0.35783565497246633,-0.065234407982793,3.3643221431521826,0.1044142879100862,0.28570336639852256,0.0,2796.8802495564214,4114.61867579953,2543.5968549945906,3600.1809243273397
1.08,-54.895408630371094,22.734161376953125,-19.523954391479492,9.38118439045581,0.2100646026512714,0.3578459620409292,-0.06541985991253375,3.365273877024672,0.10443198477782066,0.2856446828632572,0.0,2796.7099280586335,4114.831443499191,2543.4243524600083,3600.3155889323784
1.1,-54.72040557861328,22.6663818359375,-19.93402099609375,9.381377806679115,0.21023326728298786,0.3578678904554349,-0.06558078565167876,3.3657627426835917,0.1044498940752294,0.2855866579962655,0.0,2796.628718527681,4114.9497068724995,2543.3281335534375,3600.379310639748
1.12,-54.5458869934082,22.59734535217285,-20.3441104888916,9.381569554723947,0.21040128773265102,0.35790162264524455,-0.06572128185953825,3.365905734178574,0.10446801967168791,0.28552913358281573,0.0,2796.6141196211147,4114.996857734289,2543.2893603101215,3600.3900493634733
1.14,-54.371864318847656,22.52705955505371,-20.75426483154297,9.381760011342847,0.21056075593448612,0.35794665745747356,-0.06584571797783156,3.365813412552606,0.10448634262077677,0.28547199659714606,0.0,2796.6448672772544,4114.995112027253,2543.2901297396907,3600.3647650867774
1.16,-54.19834899902344,22.45552635192871,-21.164480209350586,9.381949415471038,0.21070600312995713,0.35800199649454656,-0.06595834769965048,3.365584967561413,0.10450486808917402,0.2854151753586887,0.0,2796.7018724817726,4114.9644874511305,2543.3143021140204,3600.3186744799423
1.18,-54.02534484863281,22.38274574279785,-21.574726104736328,9.382137885030437,0.2108334197904065,0.35806631539353295,-0.06606320424413394,3.365305561761648,0.10452361203158539,0.285358634490869,0.0,2796.768750597275,4114.922250054198,2543.3479472829813,3600.2648290590714
1.2,-53.85286331176758,22.308725357055664,-21.98509407043457,9.38232543615961,0.21094120497798743,0.3581381172283904,-0.06616392212829393,3.3650448720356514,0.10454254084952092,0.28530236915211715,0.0,2796.8320980639432,4114.882598609944,2543.379601829657,3600.2138974063373
1.22,-53.68091583251953,22.233469009399414,-22.395519256591797,9.382512006189899,0.21102906466032553,0.3582158562709885,-0.0662634455346779,3.36485603155988,0.10456167295758133,0.28524639814303043,0.0,2796.88167180635,4114.856422239808,2543.4004699227926,3600.174027829107
1.24,-53.5095100402832,22.1569766998291,-22.806047439575195,9.382697474015975,0.21109789350579977,0.35829803606692423,-0.06636424983612728,3.364776983648769,0.1045810032272653,0.2851907577952074,0.0,2796.910168848073,4114.851566978626,2543.40420524412,3600.1510207323463
