vx,delta,r_L1,r_L2,vy_L1,vy_L2,Fz_FL,Fz_FR,Fz_RL,Fz_RR,r_diff_pct,vy_diff,lat_transfer_f,lat_transfer_r
5.0,0.02,0.0367838,0.0367892,0.0462807,0.0462878,4034.35,4140.4,3223.42,3311.8,0.014680375600135454,7.099999999995998e-06,106.04999999999973,88.38000000000011
5.0,0.04,0.0734735,0.0734792,0.0924934,0.0925214,3982.55,4194.04,3178.57,3354.81,0.007757899106476993,2.8000000000000247e-05,211.48999999999978,176.23999999999978
5.0,0.06,0.109976,0.109968,0.138571,0.138644,3931.98,4247.66,3133.63,3396.71,-0.007274314395875465,7.299999999998974e-05,315.67999999999984,263.0799999999999
5.0,0.08,0.146202,0.146151,0.184446,0.184593,3882.94,4300.94,3088.88,3437.21,-0.03488324373127282,0.00014700000000000824,417.99999999999955,348.3299999999999
5.0,0.1,0.182063,0.181914,0.230055,0.230298,3835.77,4353.53,3044.61,3476.07,-0.08183980270566245,0.00024299999999999322,517.7599999999998,431.46000000000004
10.0,0.02,0.0730082,0.0730407,0.0399115,0.0398804,3882.15,4300.01,3089.8,3438.02,0.04451554756863579,-3.1099999999999184e-05,417.8600000000001,348.2199999999998
10.0,0.04,0.144954,0.145073,0.0808557,0.0807948,3682.59,4506.43,2917.21,3603.74,0.0820950094512797,-6.090000000000262e-05,823.8400000000001,686.5299999999997
10.0,0.06,0.214842,0.21514,0.123716,0.123647,3496.56,4703.52,2752.05,3757.85,0.13870658437362932,-6.899999999999962e-05,1206.9600000000005,1005.7999999999997
10.0,0.08,0.281803,0.282386,0.169119,0.169114,3328.41,4886.39,2598.43,3896.75,0.20688211268155418,-5.0000000000050004e-06,1557.9800000000005,1298.3200000000002
10.0,0.1,0.345137,0.346089,0.217388,0.217594,3181.3,5051.24,2459.58,4017.86,0.2758324955017726,0.00020600000000001173,1869.9399999999996,1558.2800000000002
15.0,0.02,0.108734,0.108689,-0.0663384,-0.0664804,3635.36,4558.53,2873.39,3642.7,-0.041385399231154356,-0.00014199999999998936,923.1699999999996,769.31
15.0,0.04,0.213278,0.212758,-0.117142,-0.11709,3219.6,4987.81,2514.53,3988.04,-0.24381323905887747,5.1999999999996493e-05,1768.2100000000005,1473.5099999999998
15.0,0.06,0.30952,0.308179,-0.139217,-0.139383,2877.6,5350.09,2210.94,4271.35,-0.43325148617214926,-0.00016599999999999948,2472.4900000000002,2060.4100000000003
15.0,0.08,0.392947,0.391814,-0.119669,-0.124692,2627.59,5624.33,1980.39,4477.67,-0.28833405013907604,-0.005023,2996.74,2497.2799999999997
15.0,0.1,0.450853,0.46141,-0.0196852,-0.0679147,2476.51,5800.42,1831.56,4601.48,2.3415614402033444,-0.048229499999999995,3323.91,2769.9199999999996
20.0,0.02,0.144844,0.143829,-0.317178,-0.314759,3301.25,4907.85,2581.02,3919.85,-0.7007539145563421,0.0024190000000000045,1606.6000000000004,1338.83
20.0,0.04,0.280011,0.273722,-0.556067,-0.545353,2656.47,5571.66,2026.26,4455.59,-2.2459831935173935,0.010714000000000001,2915.19,2429.33
20.0,0.06,2.92484,0.376475,1.83089,-0.60406,2279.49,5972.61,1690.14,4767.74,-87.12835573911735,-2.4349499999999997,3693.12,3077.5999999999995
20.0,0.08,4.04527,0.425914,-5.11484,-0.312077,2353.25,5912.27,1739.31,4705.15,-89.47130846643117,4.802763,3559.0200000000004,2965.8399999999997
20.0,0.1,1.69183,0.423131,0.436598,0.0638495,2730.17,5531.05,2057.34,4391.41,-74.98974483251864,-0.3727485,2800.88,2334.0699999999997
