travel_m,camber_rad,track_change_m,lca_knuckle_yz,uca_knuckle_yz
-0.08,-0.005100927634569599,0.026432892734116864,"0.7553,0.0700","0.7532,0.4731"
-0.076,-0.010346947049479865,0.025589721547022104,"0.7554,0.0740","0.7512,0.4771"
-0.07200000000000001,-0.0156569936157061,0.02469857137015663,"0.7554,0.0780","0.7491,0.4811"
-0.068,-0.02103273107615815,0.023759124501791073,"0.7554,0.0820","0.7469,0.4850"
-0.064,-0.02647587215859494,0.02277104566065613,"0.7554,0.0860","0.7447,0.4890"
-0.06,-0.03198818056487997,0.021733981646544054,"0.7553,0.0900","0.7424,0.4929"
-0.056,-0.037571473045616824,0.020647560979835333,"0.7552,0.0940","0.7401,0.4968"
-0.052000000000000005,-0.04322762156456254,0.019511393519593523,"0.7551,0.0980","0.7376,0.5007"
-0.048,-0.048958555557441816,0.018325070059850845,"0.7549,0.1020","0.7352,0.5046"
-0.044,-0.05476626429000401,0.017088161903701438,"0.7547,0.1060","0.7326,0.5085"
-0.04,-0.06065279932042179,0.015800220414801336,"0.7544,0.1100","0.7300,0.5124"
-0.036000000000000004,-0.0666202770713758,0.01446077654587341,"0.7541,0.1140","0.7273,0.5162"
-0.032,-0.0726708815174324,0.013069340343814573,"0.7538,0.1180","0.7246,0.5200"
-0.027999999999999997,-0.07880686699361096,0.01162540043100202,"0.7535,0.1220","0.7217,0.5239"
-0.024,-0.08503056113131593,0.010128423462411162,"0.7531,0.1260","0.7188,0.5277"
-0.020000000000000004,-0.0913443679281245,0.008577853558166648,"0.7527,0.1300","0.7159,0.5314"
-0.016,-0.09775077095822213,0.006973111711179425,"0.7522,0.1340","0.7129,0.5352"
-0.011999999999999997,-0.10425233673062145,0.005313595169548213,"0.7517,0.1380","0.7098,0.5389"
-0.007999999999999993,-0.11085171820263351,0.0035986767934494956,"0.7512,0.1420","0.7066,0.5426"
-0.0040000000000000036,-0.11755165845641327,0.0018277043862956477,"0.7506,0.1460","0.7033,0.5463"
0.0,-0.12435499454676154,0.0,"0.7500,0.1500","0.7000,0.5500"
0.0040000000000000036,-0.13126466152875302,-0.0018851407857221059,"0.7494,0.1540","0.6966,0.5536"
0.007999999999999993,-0.13828369667412493,-0.0038284496099970644,"0.7487,0.1580","0.6931,0.5573"
0.011999999999999997,-0.1454152438857663,-0.005830686103239779,"0.7480,0.1620","0.6896,0.5609"
0.016,-0.15266255832003728,-0.007892638685127684,"0.7472,0.1660","0.6859,0.5644"
0.020000000000000004,-0.16002901122705332,-0.010015125387658252,"0.7464,0.1700","0.6822,0.5680"
0.024000000000000007,-0.1675180950194613,-0.012198994702656396,"0.7456,0.1740","0.6784,0.5715"
0.027999999999999997,-0.17513342858064632,-0.014445126452874657,"0.7447,0.1780","0.6745,0.5749"
0.032,-0.18287876282368343,-0.01675443268556709,"0.7438,0.1820","0.6705,0.5784"
0.036000000000000004,-0.19075798651273926,-0.019127858587116964,"0.7429,0.1860","0.6665,0.5818"
0.039999999999999994,-0.1987751323589845,-0.02156638341694772,"0.7419,0.1900","0.6623,0.5852"
0.044,-0.20693438340340375,-0.02407102145854656,"0.7409,0.1940","0.6581,0.5885"
0.048,-0.21524007969921005,-0.026642822984965342,"0.7399,0.1980","0.6538,0.5918"
0.052000000000000005,-0.22369672530679308,-0.02928287523563411,"0.7388,0.2020","0.6493,0.5951"
0.05600000000000001,-0.23230899561436238,-0.03199230340071135,"0.7376,0.2060","0.6448,0.5983"
0.06000000000000001,-0.24108174499754365,-0.03477227160850438,"0.7365,0.2100","0.6402,0.6015"
0.06400000000000002,-0.250020014831235,-0.03762398391069299,"0.7353,0.2140","0.6355,0.6046"
0.06799999999999999,-0.25912904186696,-0.040548685259189976,"0.7340,0.2180","0.6307,0.6077"
0.072,-0.26841426698873816,-0.0435476624674358,"0.7327,0.2220","0.6258,0.6107"
0.076,-0.27788134436014356,-0.04662224514775892,"0.7314,0.2260","0.6208,0.6136"
0.08,-0.28753615097466007,-0.0497738066151,"0.7300,0.2300","0.6157,0.6166"
