travel_m,steer_m,camber_deg,toe_deg,track_mm,caster_deg
-0.0143070063,0,1.27078082,-0.491871915,1592.05615,0
-0.0119959215,0,1.06999439,-0.412678643,1590.19696,0
-0.00599915604,0,0.540823378,-0.206787908,1585.2155,0
-2.07220682e-05,0,0.00210331887,-0.000707908975,1580.01847,0
0.00599279946,0,-0.552039451,0.207501713,1574.55313,0
0.0120030022,0,-1.12028206,0.416520185,1568.84718,0
0.0179931811,0,-1.70078943,0.626042801,1562.91074,0
0.0240048422,0,-2.29832721,0.837718368,1556.69537,0
0.0300066942,0,-2.91062424,1.05066219,1550.22481,0
0.0360091634,0,-3.5395684,1.2654725,1543.47988,0
0.0420046977,0,-4.18527269,1.48212937,1536.46022,0
0.0480059977,0,-4.85011286,1.70136975,1529.14086,0
0.0540067505,0,-5.53451848,1.92327384,1521.51796,0
0.0600007465,0,-6.23895272,2.14794824,1513.58776,0
