Fz,kappa,alpha,gamma,Fx,Fy,Mz
1999.996407,-0.1668184645,-0.1396277698,0,-2446.970112,2216.743298,-4.230549871
1999.995206,-0.1729122543,-0.06981460783,0,-2449.070016,1814.191782,-7.997482399
1999.992015,-0.1748013357,-0.01745473684,0,-2449.458349,586.1507009,-7.347145102
1999.991351,-0.1749270288,-1.448636864e-06,0,-2449.478843,0.04602598003,-0.0002456150607
1999.991292,-0.1748013657,0.01745184049,0,-2449.455789,-586.0640027,7.347545594
1999.992977,-0.1729123856,0.06981172207,0,-2449.062137,-1814.157812,7.99873675
1999.993791,-0.1668187589,0.1396249016,0,-2446.96075,-2216.747481,4.231734992
1999.996132,-0.0982035163,-0.1396276829,0,-2255.340888,2203.258922,-4.685259438
1999.994696,-0.1047991381,-0.06981453777,0,-2296.026332,1737.134045,-8.31983117
1999.991717,-0.1068437906,-0.01745467115,0,-2307.190624,543.0434204,-7.011825672
1999.991123,-0.106979835,-1.382858994e-06,0,-2307.909735,0.04053115722,-0.0001835498223
1999.991046,-0.106843822,0.01745190693,0,-2307.188528,-542.9664001,7.012175109
1999.992557,-0.104799273,0.06981179356,0,-2296.019904,-1737.099462,8.320988924
1999.99351,-0.09820381251,0.1396249918,0,-2255.334042,-2203.25666,4.686347106
1999.995455,-0.04919286378,-0.139627388,0,-1603.430362,2186.469012,-5.028940948
1999.993816,-0.05614691674,-0.06981428955,0,-1747.158244,1683.684807,-8.530510981
1999.990929,-0.05830268033,-0.01745443576,0,-1787.502541,515.8770744,-6.787419576
1999.990369,-0.0584461151,-1.148005533e-06,0,-1790.118112,0.03237109511,-0.0001508515716
1999.990283,-0.05830270615,0.01745214293,0,-1787.501259,-515.815218,6.787645124
1999.991709,-0.05614702661,0.06981204314,0,-1747.154742,-1683.654239,8.531384439
1999.992769,-0.04919309565,0.1396252892,0,-1603.428784,-2186.464364,5.029717803
1999.994907,-0.01978650735,-0.139627,0,-750.3875149,2175.401275,-5.266150408
1999.992975,-0.02695559739,-0.06981394872,0,-994.3557269,1652.386342,-8.660434666
1999.99006,-0.02917801543,-0.01745410944,0,-1065.628649,500.8201366,-6.66148844
1999.989509,-0.0293258809,-8.226241848e-07,0,-1070.292468,0.02304817467,-0.0001441225426
1999.989421,-0.02917803109,0.01745246924,0,-1065.627983,-500.7759578,6.661550915
1999.990856,-0.026955664,0.06981238317,0,-994.3542595,-1652.363126,8.660933182
1999.992119,-0.01978663766,0.1396256744,0,-750.3882041,-2175.395745,5.266520309
1999.994698,0.009619816369,-0.1396264869,0,374.4107991,2163.646966,-5.520701311
1999.992241,0.002235701419,-0.06981345809,0,87.70944057,1621.716577,-8.794261592
1999.989193,-5.336056412e-05,-0.01745362877,0,-2.0944457,486.6004559,-6.542495049
1999.988639,-0.0002056535116,-3.428777647e-07,0,-8.071873865,0.009680429533,-0.0001537007824
1999.988551,-5.335985294e-05,0.01745294927,0,-2.094087236,-486.5818565,6.54232111
1999.990083,0.002235702268,0.06981287052,0,87.71032973,-1621.706127,8.794230327
1999.991768,0.009619829919,0.1396261803,0,374.4114301,-2163.642882,5.52053556
1999.99521,0.0586303751,-0.1396258414,0,1793.273202,2142.663512,-5.899546989
1999.992032,0.05088786099,-0.06981275445,0,1640.53885,1572.079572,-8.988398462
1999.988782,0.04848772051,-0.01745291016,0,1587.861046,464.5916919,-6.350138601
1999.988223,0.04832804791,3.764360712e-07,0,1584.263418,-0.01073509447,-0.000191592815
1999.988138,0.04848774763,0.01745366718,0,1587.860796,-464.6124356,6.349615161
1999.989828,0.05088796623,0.0698135707,0,1640.538024,-1572.091556,8.987619876
1999.992112,0.05863058456,0.1396268208,0,1793.27214,-2142.665345,5.898706531
1999.995569,0.1272452658,-0.1396255726,0,2388.38853,2110.736101,-6.29965557
